Player,Retained,Winning_Bid,Total_Balls,Total_Runs,High Leverage Economy,High Leverage Economy+
Bhuvneshwar Kumar,No,10.75,319,476,8.95,111.80
Trent Boult,No,12.5,288,353,7.35,136.10
Mohammad Siraj,No,12.25,271,390,8.63,115.92
Arshdeep Singh,No,18,267,413,9.28,107.85
TU Deshpande,No,6.5,245,347,8.50,117.78
Mitchell Starc,No,11.75,235,398,10.16,98.50
T Natarajan,No,10.75,208,301,8.68,115.28
Avesh Khan,No,9.75,200,308,9.24,108.32
VG Arora,No,1.8,188,243,7.76,129.06
Mohsin Khan,No,1.3,186,306,9.87,101.40
SM Curran,No,2.4,180,294,9.80,102.13
HV Patel,No,8,157,253,9.67,103.52
K Rabada,No,10.75,155,224,8.67,115.43
Mukesh Kumar,No,8,151,266,10.57,94.70
I Sharma,No,0.75,141,205,8.72,114.74
N Thushara,No,1.6,138,213,9.26,108.08
DL Chahar,No,9.25,127,175,8.27,121.06
Yash Thakur,No,1.6,127,219,10.35,96.74
MM Sharma,No,2.2,127,235,11.10,90.15
Azmatullah Omarzai,No,2.4,118,178,9.05,110.59
G Coetzee,No,2.4,116,172,8.90,112.51
R Ashwin,No,9.75,105,174,9.94,100.67
Anrich Nortje,No,6.5,83,217,15.69,63.81
SH Johnson,No,2.8,62,83,8.03,124.61
RJW Topley,No,0.75,62,113,10.94,91.53